hour,de_node_1,de_node_2,de_node_3
511,0.02120,0.01524,0.00962
512,0.03180,0.02286,0.01443
513,0.10539,0.07578,0.04782
514,0.17899,0.12870,0.08122
515,0.25259,0.18162,0.11461
516,0.26410,0.18990,0.11984
517,0.27562,0.19818,0.12506
518,0.28713,0.20646,0.13029
519,0.22073,0.15871,0.10015
520,0.15432,0.11096,0.07002
521,0.08792,0.06322,0.03989
522,0.05916,0.04254,0.02684
523,0.03040,0.02186,0.01380
524,0.00165,0.00118,0.00075
525,0.00110,0.00079,0.00050
526,0.00055,0.00039,0.00025
527,0.00000,0.00000,0.00000
528,0.00000,0.00000,0.00000
529,0.00000,0.00000,0.00000
530,0.00000,0.00000,0.00000
531,0.00000,0.00000,0.00000
532,0.00000,0.00000,0.00000
533,0.00000,0.00000,0.00000
534,0.01501,0.01079,0.00681
535,0.03002,0.02159,0.01362
536,0.04503,0.03238,0.02043
537,0.12635,0.09085,0.05733
538,0.20767,0.14932,0.09423
539,0.28899,0.20779,0.13113
540,0.30172,0.21695,0.13691
541,0.31446,0.22611,0.14269
542,0.32720,0.23526,0.14846
543,0.25200,0.18120,0.11435
544,0.17681,0.12713,0.08023
545,0.10161,0.07306,0.04611
546,0.06847,0.04923,0.03107
547,0.03532,0.02540,0.01603
548,0.00218,0.00156,0.00099
549,0.00145,0.00104,0.00066
550,0.00073,0.00052,0.00033
551,0.00001,0.00001,0.00000
552,0.00001,0.00000,0.00000
553,0.00001,0.00000,0.00000
554,0.00000,0.00000,0.00000
555,0.00000,0.00000,0.00000
556,0.00000,0.00000,0.00000
557,0.00000,0.00000,0.00000
558,0.00812,0.00584,0.00369
559,0.01625,0.01168,0.00737
560,0.02437,0.01752,0.01106
561,0.06968,0.05010,0.03162
562,0.11499,0.08268,0.05218
563,0.16030,0.11526,0.07274
564,0.16158,0.11618,0.07331
565,0.16285,0.11709,0.07389
566,0.16413,0.11801,0.07447
567,0.12513,0.08997,0.05678
568,0.08613,0.06193,0.03908
569,0.04713,0.03389,0.02139
570,0.03176,0.02283,0.01441
571,0.01638,0.01178,0.00743
572,0.00101,0.00073,0.00046
573,0.00068,0.00049,0.00031
574,0.00034,0.00025,0.00016
575,0.00001,0.00001,0.00000
576,0.00001,0.00001,0.00000
577,0.00001,0.00001,0.00000
578,0.00001,0.00000,0.00000
579,0.00000,0.00000,0.00000
580,0.00000,0.00000,0.00000
581,0.00000,0.00000,0.00000
582,0.00692,0.00497,0.00314
583,0.01384,0.00995,0.00628
584,0.02076,0.01492,0.00942
585,0.06682,0.04804,0.03032
586,0.11288,0.08116,0.05122
587,0.15894,0.11428,0.07212
588,0.17552,0.12621,0.07964
589,0.19211,0.13813,0.08717
590,0.20869,0.15006,0.09469
591,0.16235,0.11674,0.07367
592,0.11601,0.08342,0.05264
593,0.06967,0.05010,0.03161
594,0.04681,0.03366,0.02124
595,0.02396,0.01722,0.01087
596,0.00110,0.00079,0.00050
