hour,nl_node_1,nl_node_2,nl_node_3
732,0.59673,0.45622,0.34735
733,0.64537,0.49341,0.37567
734,0.64537,0.49341,0.37567
735,0.56738,0.43379,0.33027
736,0.49031,0.37487,0.28541
737,0.49031,0.37487,0.28541
738,0.47927,0.36642,0.27898
739,0.46827,0.35801,0.27258
740,0.46827,0.35801,0.27258
741,0.46933,0.35882,0.27320
742,0.47040,0.35964,0.27382
743,0.47040,0.35964,0.27382
744,0.46624,0.35646,0.27139
745,0.46209,0.35328,0.26898
746,0.46209,0.35328,0.26898
747,0.48011,0.36706,0.27947
748,0.49826,0.38094,0.29003
749,0.49826,0.38094,0.29003
750,0.44438,0.33975,0.25867
751,0.39198,0.29968,0.22817
752,0.39198,0.29968,0.22817
753,0.31538,0.24112,0.18358
754,0.24496,0.18728,0.14259
755,0.24496,0.18728,0.14259
756,0.22956,0.17551,0.13363
757,0.21461,0.16408,0.12492
758,0.21461,0.16408,0.12492
759,0.28485,0.21778,0.16581
760,0.36260,0.27722,0.21107
761,0.36260,0.27722,0.21107
762,0.24075,0.18406,0.14014
763,0.14141,0.10812,0.08232
764,0.14141,0.10812,0.08232
765,0.11772,0.09001,0.06853
766,0.09683,0.07403,0.05636
767,0.09683,0.07403,0.05636
768,0.17012,0.13007,0.09903
769,0.26617,0.20350,0.15494
770,0.26617,0.20350,0.15494
771,0.48071,0.36753,0.27982
772,0.71673,0.54797,0.41720
773,0.71673,0.54797,0.41720
774,0.87324,0.66763,0.50831
775,1.01210,0.77380,0.58914
776,1.01210,0.77380,0.58914
777,1.09304,0.83567,0.63625
778,1.15572,0.88360,0.67274
779,1.15572,0.88360,0.67274
780,1.10241,0.84284,0.64171
781,1.03495,0.79126,0.60244
782,1.03495,0.79126,0.60244
783,0.91875,0.70242,0.53480
784,0.78636,0.60120,0.45773
785,0.78636,0.60120,0.45773
786,0.65894,0.50379,0.38357
787,0.53008,0.40527,0.30856
788,0.53008,0.40527,0.30856
789,0.52140,0.39863,0.30351
790,0.51275,0.39202,0.29847
791,0.51275,0.39202,0.29847
792,0.48219,0.36865,0.28068
793,0.45200,0.34557,0.26311
794,0.45200,0.34557,0.26311
795,0.45364,0.34682,0.26406
796,0.45528,0.34808,0.26501
797,0.45528,0.34808,0.26501
798,0.51625,0.39470,0.30051
799,0.57835,0.44217,0.33666
800,0.57835,0.44217,0.33666
801,0.60475,0.46236,0.35202
802,0.63118,0.48257,0.36741
803,0.63118,0.48257,0.36741
804,0.69623,0.53230,0.40527
805,0.76050,0.58143,0.44268
806,0.76050,0.58143,0.44268
807,0.61028,0.46658,0.35524
808,0.46097,0.35243,0.26833
809,0.46097,0.35243,0.26833
810,0.35105,0.26839,0.20434
811,0.25140,0.19221,0.14634
812,0.25140,0.19221,0.14634
813,0.20472,0.15652,0.11917
814,0.16265,0.12435,0.09468
815,0.16265,0.12435,0.09468
816,0.20252,0.15484,0.11789
817,0.24658,0.18852,0.14353
