hour,de_node_1,de_node_2,de_node_3
619,0.00000,0.00000,0.00000
620,0.01808,0.01628,0.01437
621,0.00449,0.00404,0.00357
622,0.00652,0.00587,0.00518
623,0.00652,0.00587,0.00518
624,0.04229,0.03808,0.03360
625,0.11170,0.10057,0.08874
626,0.11170,0.10057,0.08874
627,0.19849,0.17871,0.15770
628,0.30012,0.27022,0.23844
629,0.30012,0.27022,0.23844
630,0.39903,0.35926,0.31702
631,0.49963,0.44984,0.39695
632,0.49963,0.44984,0.39695
633,0.61721,0.55571,0.49036
634,0.72116,0.64929,0.57294
635,0.72116,0.64929,0.57294
636,0.80010,0.72036,0.63566
637,0.85024,0.76551,0.67550
638,0.85024,0.76551,0.67550
639,0.85899,0.77339,0.68245
640,0.86362,0.77756,0.68613
641,0.86362,0.77756,0.68613
642,0.86274,0.77677,0.68543
643,0.86152,0.77567,0.68446
644,0.86152,0.77567,0.68446
645,0.86269,0.77672,0.68539
646,0.86354,0.77749,0.68607
647,0.86354,0.77749,0.68607
648,0.86104,0.77524,0.68408
649,0.85688,0.77149,0.68078
650,0.85688,0.77149,0.68078
651,0.83598,0.75267,0.66417
652,0.80324,0.72320,0.63816
653,0.80324,0.72320,0.63816
654,0.80685,0.72645,0.64103
655,0.81037,0.72961,0.64382
656,0.81037,0.72961,0.64382
657,0.79538,0.71612,0.63191
658,0.77887,0.70125,0.61880
659,0.77887,0.70125,0.61880
660,0.76530,0.68904,0.60802
661,0.75095,0.67612,0.59662
662,0.75095,0.67612,0.59662
663,0.73333,0.66025,0.58262
664,0.71478,0.64355,0.56788
665,0.71478,0.64355,0.56788
666,0.69004,0.62127,0.54822
667,0.66405,0.59788,0.52758
668,0.66405,0.59788,0.52758
669,0.62302,0.56093,0.49497
670,0.57997,0.52217,0.46078
671,0.57997,0.52217,0.46078
672,0.52754,0.47497,0.41912
673,0.47377,0.42656,0.37640
674,0.47377,0.42656,0.37640
675,0.41421,0.37293,0.32908
676,0.35498,0.31960,0.28202
677,0.35498,0.31960,0.28202
678,0.25828,0.23254,0.20520
679,0.17041,0.15343,0.13539
680,0.17041,0.15343,0.13539
681,0.09345,0.08414,0.07425
682,0.03711,0.03341,0.02948
683,0.03711,0.03341,0.02948
684,0.03761,0.03387,0.02988
685,0.03812,0.03432,0.03029
686,0.03812,0.03432,0.03029
687,0.06104,0.05496,0.04850
688,0.08882,0.07997,0.07056
689,0.08882,0.07997,0.07056
690,0.15065,0.13563,0.11969
691,0.22380,0.20150,0.17780
692,0.22380,0.20150,0.17780
693,0.30639,0.27586,0.24342
694,0.39392,0.35467,0.31296
695,0.39392,0.35467,0.31296
696,0.50122,0.45127,0.39821
697,0.60476,0.54450,0.48047
698,0.60476,0.54450,0.48047
699,0.67045,0.60364,0.53266
700,0.72965,0.65694,0.57969
701,0.72965,0.65694,0.57969
702,0.71945,0.64775,0.57159
703,0.70898,0.63833,0.56327
704,0.70898,0.63833,0.56327
705,0.58972,0.53096,0.46852
706,0.45620,0.41074,0.36245
707,0.45620,0.41074,0.36245
708,0.31662,0.28507,0.25155
709,0.18834,0.16958,0.14964
710,0.18834,0.16958,0.14964
711,0.19539,0.17592,0.15523
712,0.20251,0.18233,0.16089
713,0.20251,0.18233,0.16089
714,0.19065,0.17165,0.15147
715,0.17903,0.16119,0.14224
716,0.17903,0.16119,0.14224
717,0.17679,0.15917,0.14046
718,0.17456,0.15717,0.13869
719,0.17456,0.15717,0.13869
720,0.21423,0.19289,0.17021
721,0.25633,0.23078,0.20365
722,0.25633,0.23078,0.20365
723,0.34489,0.31052,0.27401
724,0.43715,0.39359,0.34731
725,0.43715,0.39359,0.34731
726,0.43097,0.38803,0.34240
727,0.42480,0.38246,0.33749
728,0.42480,0.38246,0.33749
729,0.39868,0.35895,0.31674
730,0.37268,0.33554,0.29608
731,0.37268,0.33554,0.29608
732,0.36919,0.33240,0.29332
733,0.36571,0.32927,0.29055
734,0.36571,0.32927,0.29055
735,0.38799,0.34933,0.30825
736,0.41038,0.36949,0.32604
737,0.41038,0.36949,0.32604
738,0.41841,0.37671,0.33242
739,0.42643,0.38394,0.33879
740,0.42643,0.38394,0.33879
741,0.44197,0.39793,0.35114
742,0.45751,0.41191,0.36348
743,0.45751,0.41191,0.36348
744,0.44773,0.40311,0.35571
745,0.43795,0.39431,0.34794
746,0.43795,0.39431,0.34794
