hour,nl_node_1,nl_node_2,nl_node_3
450,0.13706,0.11249,0.10044
451,0.19718,0.16183,0.14450
452,0.19718,0.16183,0.14450
453,0.21162,0.17368,0.15508
454,0.22641,0.18582,0.16592
455,0.22641,0.18582,0.16592
456,0.22735,0.18659,0.16661
457,0.22829,0.18736,0.16730
458,0.22829,0.18736,0.16730
459,0.25586,0.20999,0.18750
460,0.28440,0.23341,0.20842
461,0.28440,0.23341,0.20842
462,0.32719,0.26853,0.23978
463,0.37146,0.30486,0.27222
464,0.37146,0.30486,0.27222
465,0.37443,0.30730,0.27440
466,0.37741,0.30975,0.27658
467,0.37741,0.30975,0.27658
468,0.39642,0.32535,0.29051
469,0.41559,0.34108,0.30456
470,0.41559,0.34108,0.30456
471,0.41519,0.34076,0.30427
472,0.41480,0.34043,0.30398
473,0.41480,0.34043,0.30398
474,0.41880,0.34371,0.30691
475,0.42280,0.34700,0.30984
476,0.42280,0.34700,0.30984
477,0.38277,0.31415,0.28051
478,0.34357,0.28197,0.25178
479,0.34357,0.28197,0.25178
480,0.29769,0.24432,0.21816
481,0.25372,0.20823,0.18593
482,0.25372,0.20823,0.18593
483,0.23076,0.18939,0.16911
484,0.20854,0.17116,0.15283
485,0.20854,0.17116,0.15283
486,0.21951,0.18016,0.16087
487,0.23067,0.18932,0.16904
488,0.23067,0.18932,0.16904
489,0.23969,0.19672,0.17566
490,0.24883,0.20422,0.18235
491,0.24883,0.20422,0.18235
492,0.23093,0.18953,0.16923
493,0.21348,0.17521,0.15644
494,0.21348,0.17521,0.15644
495,0.15211,0.12484,0.11147
496,0.09925,0.08146,0.07273
497,0.09925,0.08146,0.07273
498,0.12291,0.10087,0.09007
499,0.14863,0.12198,0.10892
500,0.14863,0.12198,0.10892
501,0.17622,0.14463,0.12914
502,0.20554,0.16869,0.15063
503,0.20554,0.16869,0.15063
504,0.22158,0.18185,0.16238
505,0.23802,0.19535,0.17443
506,0.23802,0.19535,0.17443
507,0.24122,0.19797,0.17677
508,0.24443,0.20061,0.17913
509,0.24443,0.20061,0.17913
510,0.27636,0.22681,0.20252
511,0.30943,0.25395,0.22676
512,0.30943,0.25395,0.22676
513,0.34741,0.28513,0.25460
514,0.38640,0.31713,0.28317
515,0.38640,0.31713,0.28317
516,0.38633,0.31707,0.28312
517,0.38625,0.31701,0.28306
518,0.38625,0.31701,0.28306
519,0.40038,0.32860,0.29341
520,0.41460,0.34027,0.30383
521,0.41460,0.34027,0.30383
522,0.46207,0.37923,0.33863
523,0.51008,0.41863,0.37381
524,0.51008,0.41863,0.37381
525,0.51043,0.41892,0.37406
526,0.51077,0.41920,0.37431
527,0.51077,0.41920,0.37431
528,0.48833,0.40078,0.35786
529,0.46595,0.38242,0.34147
530,0.46595,0.38242,0.34147
531,0.42788,0.35117,0.31357
532,0.39031,0.32033,0.28603
533,0.39031,0.32033,0.28603
